code,category,name,description,material,capacity,colors,price_inr,source_page,source_code,image_region,raw_excerpt,data_status
XG-EL-001,Electronics,XG-T1,RECTRACTABLE USB CHARGING CABLE 100Cm 4in1 FSC BAMBOO FAST CHARGING cable,,100Cm,"BLACK;white",,25,XG-EL-001,top-left,y y  &  i  \  \. — EN XG-EL-001 XG-EL-002 e y eo Color Option y Color Option XG-EL-003 XG-EL-004 Color Option Color Option di XG-EL-005 XG-EL-006 e i g e Color Option y Color Option,VERIFIED_FROM_CATALOGUE
XG-EL-002,Electronics,XG-T2,,PVC,,"Black;blue;Red",,25,XG-EL-002,top-right,y y  &  i  \  \. — EN XG-EL-001 XG-EL-002 e y eo Color Option y Color Option XG-EL-003 XG-EL-004 Color Option Color Option di XG-EL-005 XG-EL-006 e i g e Color Option y Color Option,VERIFIED_FROM_CATALOGUE
XG-EL-003,Electronics,XG-M03,,mdf+pvc,,"Black White;Brown Silver",,25,XG-EL-003,middle-left,y y  &  i  \  \. — EN XG-EL-001 XG-EL-002 e y eo Color Option y Color Option XG-EL-003 XG-EL-004 Color Option Color Option di XG-EL-005 XG-EL-006 e i g e Color Option y Color Option,VERIFIED_FROM_CATALOGUE
XG-EL-004,Electronics,XG-14,,LCD Desk Alarm clock White withCalendar and Digital Temperature Humidity Modern home Office Watch Battery Operated,,BAMBOO MUG,,25,XG-EL-004,middle-right,y y  &  i  \  \. — EN XG-EL-001 XG-EL-002 e y eo Color Option y Color Option XG-EL-003 XG-EL-004 Color Option Color Option di XG-EL-005 XG-EL-006 e i g e Color Option y Color Option,VERIFIED_FROM_CATALOGUE
XG-EL-005,Electronics,XG-T5,,Cheap Night Light Pen Stand with Speaker LED Backlight Smart Desk lamp google smart speaker LED Light Music computer speaker,,"Blue;White;Orange",,25,XG-EL-005,bottom-left,y y  &  i  \  \. — EN XG-EL-001 XG-EL-002 e y eo Color Option y Color Option XG-EL-003 XG-EL-004 Color Option Color Option di XG-EL-005 XG-EL-006 e i g e Color Option y Color Option,VERIFIED_FROM_CATALOGUE
XG-EL-006,Electronics,XG-T6,,Portable USB Cable Card USB Adapter Kit Storage Set Multi Charging Cable Case USB-C Cable/Light/Micro-USB Adapter for travel,,Black White,,25,XG-EL-006,bottom-right,y y  &  i  \  \. — EN XG-EL-001 XG-EL-002 e y eo Color Option y Color Option XG-EL-003 XG-EL-004 Color Option Color Option di XG-EL-005 XG-EL-006 e i g e Color Option y Color Option,VERIFIED_FROM_CATALOGUE
XG-EL-007,Electronics,XG-T7,,,,"BLACK;white",,26,XG-EL-007,middle-left,y y  &  |  i XG-EL-007 XG-EL-008 ® / eee Color Option tt Color Option XG-EL-009 XG-EL-010 eo e y Color Option Color Option y XG-EL-O11 XG-EL-012 e e _ Color Option y Color Option,VERIFIED_FROM_CATALOGUE
XG-EL-008,Electronics,XG-T8,Custom Logo Free Sample USB Flash Drive Key USB Credit Card,Plastic,1GB 2GB 4GB 8GB 16GB 32GB 64GB,"Black;blue;Red",,26,XG-EL-008,middle-right,y y  &  |  i XG-EL-007 XG-EL-008 ® / eee Color Option tt Color Option XG-EL-009 XG-EL-010 eo e y Color Option Color Option y XG-EL-O11 XG-EL-012 e e _ Color Option y Color Option,VERIFIED_FROM_CATALOGUE
XG-EL-009,Electronics,XG-T9,,PVC,,"Black;Red;Blue",,26,XG-EL-009,bottom-left,y y  &  |  i XG-EL-007 XG-EL-008 ® / eee Color Option tt Color Option XG-EL-009 XG-EL-010 eo e y Color Option Color Option y XG-EL-O11 XG-EL-012 e e _ Color Option y Color Option,VERIFIED_FROM_CATALOGUE
XG-EL-010,Electronics,XG-110,4in1 LED emergency camping tent reading lamp USB rechargeable lantern multifunctional desk lamp,,,"Black;White;Green",,26,XG-EL-010,bottom-center,y y  &  |  i XG-EL-007 XG-EL-008 ® / eee Color Option tt Color Option XG-EL-009 XG-EL-010 eo e y Color Option Color Option y XG-EL-O11 XG-EL-012 e e _ Color Option y Color Option,VERIFIED_FROM_CATALOGUE
XG-EL-011,Electronics,XG-T11,Trending 2024 New Electronic Gadgets Mini Party Speaker Sound Bar with Phone Holder Alarm Clock Bass Subwoofer Portable Speakers,,,"Black;White",,26,XG-EL-011,bottom-left,,VERIFIED_FROM_CATALOGUE
XG-EL-012,Electronics,XG-T12,Multi-function Custom Logo Alarm Clock Desktop Night Light Intelligence Quality 3-in-1 Wireless Charger Fast Charging Station,,,"Black;White",,26,XG-EL-012,bottom-right,y y  &  |  i XG-EL-007 XG-EL-008 ® / eee Color Option tt Color Option XG-EL-009 XG-EL-010 eo e y Color Option Color Option y XG-EL-O11 XG-EL-012 e e _ Color Option y Color Option,VERIFIED_FROM_CATALOGUE
XG-EL-013,Electronics,Ready to Ship New product ideas 2024 3 in 1 Wireless charger HD BT Speaker Phone charger With LED Warm Light Portable Stereo sound Speaker,Ready to Ship New product ideas 2024 3 in 1 Wireless charger HD BT Speaker Phone charger With LED Warm Light Portable Stereo sound Speaker,,,Gray Golden,,27,XG-EL-013,middle-left,y y/ & { \ XG-EL-013 7 XG-EL-014 Color Option tt Color Option XG-EL-015 XG-EL-016 Color Option Color Option y XG-EL-017 XG-EL-018 e e Color Option it Color Option,VERIFIED_FROM_CATALOGUE
XG-EL-014,Electronics,RECHARGEABLE TABLE LAMP WITH MOBILE HOLDER,RECHARGEABLE TABLE LAMP WITH MOBILE HOLDER,PC,,white,,27,XG-EL-014,middle-right,y y/ & { \ XG-EL-013 7 XG-EL-014 Color Option tt Color Option XG-EL-015 XG-EL-016 Color Option Color Option y XG-EL-017 XG-EL-018 e e Color Option it Color Option,VERIFIED_FROM_CATALOGUE
XG-EL-015,Electronics,Mushroom bed lamp with touch,"Sensor touch USB RECHARGEABLE LAMP
Packing : color box",ABS,,milky white,,27,XG-EL-015,bottom-left,y y/ & { \ XG-EL-013 7 XG-EL-014 Color Option tt Color Option XG-EL-015 XG-EL-016 Color Option Color Option y XG-EL-017 XG-EL-018 e e Color Option it Color Option,VERIFIED_FROM_CATALOGUE
XG-EL-016,Electronics,,,,,Gray,,27,XG-EL-016,bottom-center,y y/ & { \ XG-EL-013 7 XG-EL-014 Color Option tt Color Option XG-EL-015 XG-EL-016 Color Option Color Option y XG-EL-017 XG-EL-018 e e Color Option it Color Option,VERIFIED_FROM_CATALOGUE
XG-EL-017,Electronics,,,,,,,27,XG-EL-017,bottom-left,y y/ & { \ XG-EL-013 7 XG-EL-014 Color Option tt Color Option XG-EL-015 XG-EL-016 Color Option Color Option y XG-EL-017 XG-EL-018 e e Color Option it Color Option,NOT_AVAILABLE
XG-EL-018,Electronics,S23 High Quality FM Radio Wooden Wireless Speakers Home Desktop Outdoor Portable Bluetooth Speaker,S23 High Quality FM Radio Wooden Wireless Speakers Home Desktop Outdoor Portable Bluetooth Speaker,S23 High Quality FM Radio Wooden,,Brown,,27,XG-EL-018,bottom-right,y y/ & { \ XG-EL-013 7 XG-EL-014 Color Option tt Color Option XG-EL-015 XG-EL-016 Color Option Color Option y XG-EL-017 XG-EL-018 e e Color Option it Color Option,VERIFIED_FROM_CATALOGUE
XG-EL-019,Electronics,Bamboo led digital clock,Product code : XG-T17,Bamboo,,Bamboo,,28,XG-EL-019,middle-left,hie  f  |  f  \ XG-EL-019 XG-EL-020  @ y eco / Color Option dt Color Option XG-EL-021 XG-EL-022 eo0 e y Color Option Color Option tt XG-EL-023 XG-EL-024 Color | Color white / grey i ee Color lack Gray Blue ee 4 <  ® 4 ee Color Option it Color Option,VERIFIED_FROM_CATALOGUE
XG-EL-020,Electronics,Digital bag Multi-function data line charger digital products organizer travel bag travel accessories charger cable power bank organizer bag pouch,"Product code : XG-T19
Description : 2023 hot Digital bag Multi-function data line charger digital products organizer travel bag travel accessories charger cable power bank organizer bag pouch",,,"Black;Gray;Blue",,28,XG-EL-020,middle-right,hie  f  |  f  \ XG-EL-019 XG-EL-020  @ y eco / Color Option dt Color Option XG-EL-021 XG-EL-022 eo0 e y Color Option Color Option tt XG-EL-023 XG-EL-024 Color | Color white / grey i ee Color lack Gray Blue ee 4 <  ® 4 ee Color Option it Color Option,VERIFIED_FROM_CATALOGUE
XG-EL-021,Electronics,,"Product code : XG-121
Feature : Elestic Band Safe, Velcro design",,,"Black;Dark Blue;Grey",,28,XG-EL-021,bottom-left,hie  f  |  f  \ XG-EL-019 XG-EL-020  @ y eco / Color Option dt Color Option XG-EL-021 XG-EL-022 eo0 e y Color Option Color Option tt XG-EL-023 XG-EL-024 Color | Color white / grey i ee Color lack Gray Blue ee 4 <  ® 4 ee Color Option it Color Option,VERIFIED_FROM_CATALOGUE
XG-EL-022,Electronics,,"Product code : XG-122
Feature : Waterproof Fabric, Nylon Zipper","Waterproof Fabric, Nylon Zipper",24CM x 17CM,"BLACK;dark blue;grey",,28,XG-EL-022,bottom-center,hie  f  |  f  \ XG-EL-019 XG-EL-020  @ y eco / Color Option dt Color Option XG-EL-021 XG-EL-022 eo0 e y Color Option Color Option tt XG-EL-023 XG-EL-024 Color | Color white / grey i ee Color lack Gray Blue ee 4 <  ® 4 ee Color Option it Color Option,VERIFIED_FROM_CATALOGUE
XG-EL-023,Electronics,,Product code : XG-T23,,,"Color white;grey",,28,XG-EL-023,bottom-left,hie  f  |  f  \ XG-EL-019 XG-EL-020  @ y eco / Color Option dt Color Option XG-EL-021 XG-EL-022 eo0 e y Color Option Color Option tt XG-EL-023 XG-EL-024 Color | Color white / grey i ee Color lack Gray Blue ee 4 <  ® 4 ee Color Option it Color Option,VERIFIED_FROM_CATALOGUE
XG-EL-024,Electronics,,Product code : XG-T24,,,"Black;Gray;Blue",,28,XG-EL-024,bottom-right,hie  f  |  f  \ XG-EL-019 XG-EL-020  @ y eco / Color Option dt Color Option XG-EL-021 XG-EL-022 eo0 e y Color Option Color Option tt XG-EL-023 XG-EL-024 Color | Color white / grey i ee Color lack Gray Blue ee 4 <  ® 4 ee Color Option it Color Option,VERIFIED_FROM_CATALOGUE
XG-EL-025,Electronics,Follow Light,"Product code : XG-T25
Discription : Follow Light",,,Black White,,29,XG-EL-025,middle-left,Zz y/ & ' \ \. — EN XG-EL-025 XG-EL-026 ° / eee Color Option di Color Option e e J ff Color Option Color Option uf XG-EL-029 XG-EL-030 ® ee Color Option lt Color Option,VERIFIED_FROM_CATALOGUE
XG-EL-026,Electronics,Travel Charger Multiple Plug Adapter,"Product code : XG-T26
Description: Travel Charger Multiple Plug Adapter
Packge. Color Box",,,,,29,XG-EL-026,middle-right,Zz y/ & ' \ \. — EN XG-EL-025 XG-EL-026 ° / eee Color Option di Color Option e e J ff Color Option Color Option uf XG-EL-029 XG-EL-030 ® ee Color Option lt Color Option,VERIFIED_FROM_CATALOGUE
XG-EL-027,Electronics,Multi Functional Compact cable card set,"Product code : XG-T27
Feature: Multi Functional Compact cable card set",,,Black,,29,XG-EL-027,bottom-left,,VERIFIED_FROM_CATALOGUE
XG-EL-028,Electronics,Sample rebates Portable Usb Coffee Maker Machine Capsules Press Small Coffee Maker For Outdoor,"Product code : XG-T28
Feature : Sample rebates Portable Usb Coffee Maker Machine Capsules Press Small Coffee Maker For Outdoor",,,"BLACK;dark blue;grey",,29,XG-EL-028,bottom-right,,VERIFIED_FROM_CATALOGUE
XG-EL-029,Electronics,Heating Flectric Mug,"Product code : XG-T29
Discription : Heating Flectric Mug",,,"Color white;Black",,29,XG-EL-029,bottom-left,Zz y/ & ' \ \. — EN XG-EL-025 XG-EL-026 ° / eee Color Option di Color Option e e J ff Color Option Color Option uf XG-EL-029 XG-EL-030 ® ee Color Option lt Color Option,VERIFIED_FROM_CATALOGUE
XG-EL-030,Electronics,Heating Electric Mug,"Product code : XG-T30
Discription : Heating Electric Mug",,,Black Gray Blue,,29,XG-EL-030,bottom-right,Zz y/ & ' \ \. — EN XG-EL-025 XG-EL-026 ° / eee Color Option di Color Option e e J ff Color Option Color Option uf XG-EL-029 XG-EL-030 ® ee Color Option lt Color Option,VERIFIED_FROM_CATALOGUE
XG-EL-031,Electronics,Bamboo led digital clock,,Bamboo,,Bamboo,,30,XG-EL-031,middle-left,V7? f | { 1 XG-EL-031 XG-EL-032 Material : Bamboo led digital clock < : : aay fil fo o| ] e == / eee out Color Option yr Color Option XG-EL-033 i XG-EL-034 v v eo” e y Color Option Color Option oi y XG-EL-035 a XG-EL-036 I i be G) ® UU _ eo : Color Option y Color Option,VERIFIED_FROM_CATALOGUE
XG-EL-032,Electronics,,,,,"Black;Gray;Blue",,30,XG-EL-032,middle-right,V7? f | { 1 XG-EL-031 XG-EL-032 Material : Bamboo led digital clock < : : aay fil fo o| ] e == / eee out Color Option yr Color Option XG-EL-033 i XG-EL-034 v v eo” e y Color Option Color Option oi y XG-EL-035 a XG-EL-036 I i be G) ® UU _ eo : Color Option y Color Option,VERIFIED_FROM_CATALOGUE
XG-EL-033,Electronics,,,,,"Black;Gray;Blue",,30,XG-EL-033,bottom-left,V7? f | { 1 XG-EL-031 XG-EL-032 Material : Bamboo led digital clock < : : aay fil fo o| ] e == / eee out Color Option yr Color Option XG-EL-033 i XG-EL-034 v v eo” e y Color Option Color Option oi y XG-EL-035 a XG-EL-036 I i be G) ® UU _ eo : Color Option y Color Option,VERIFIED_FROM_CATALOGUE
XG-EL-034,Electronics,,,,,"Black;Gray;Blue",,30,XG-EL-034,bottom-right,V7? f | { 1 XG-EL-031 XG-EL-032 Material : Bamboo led digital clock < : : aay fil fo o| ] e == / eee out Color Option yr Color Option XG-EL-033 i XG-EL-034 v v eo” e y Color Option Color Option oi y XG-EL-035 a XG-EL-036 I i be G) ® UU _ eo : Color Option y Color Option,VERIFIED_FROM_CATALOGUE
XG-EL-035,Electronics,,,,,"Color white;grey",,30,XG-EL-035,bottom-left,31 XG-EL-032 Material : Bamboo led digital clock < : : aay fil fo o| ] e == / eee out Color Option yr Color Option XG-EL-033 i XG-EL-034 v v eo” e y Color Option Color Option oi y XG-EL-035 a XG-EL-036 I i be G) ® UU _ eo : Color Option y Color Option,VERIFIED_FROM_CATALOGUE
XG-EL-036,Electronics,,,,,"Black;Gray;Blue",,30,XG-EL-036,bottom-right,Material : Bamboo led digital clock < : : aay fil fo o| ] e == / eee out Color Option yr Color Option XG-EL-033 i XG-EL-034 v v eo” e y Color Option Color Option oi y XG-EL-035 a XG-EL-036 I i be G) ® UU _ eo : Color Option y Color Option,VERIFIED_FROM_CATALOGUE
XG-EL-037,Electronics,,,Bamboo led,,Bamboo,,31,XG-EL-037,top-left,"SE : 4 & i \ XG-EL-037 XG-EL-038 _— ce, a) oo sccoaythe e y eee Color Option y Color Option XG-EL-039 XG-EL-040 eco ece 7 Color Option Color Option di XG-EL-041 XG-EL-042 enim OBO | am 19% fon, 10 94 00+ am i e ee Color Option y Color Option",VERIFIED_FROM_CATALOGUE
XG-EL-038,Electronics,,Universal 3 in 1 retractable charging cable Usb Charging Cable Flexible data Cable for phone/Type C/Android,,,"Black;Gray;Blue",,31,XG-EL-038,top-right,"SE : 4 & i \ XG-EL-037 XG-EL-038 _— ce, a) oo sccoaythe e y eee Color Option y Color Option XG-EL-039 XG-EL-040 eco ece 7 Color Option Color Option di XG-EL-041 XG-EL-042 enim OBO | am 19% fon, 10 94 00+ am i e ee Color Option y Color Option",VERIFIED_FROM_CATALOGUE
XG-EL-039,Electronics,,"100 Year Calender, Alarm with snooze",,,"Black;Dark Blue;Grey",,31,XG-EL-039,middle-left,"SE : 4 & i \ XG-EL-037 XG-EL-038 _— ce, a) oo sccoaythe e y eee Color Option y Color Option XG-EL-039 XG-EL-040 eco ece 7 Color Option Color Option di XG-EL-041 XG-EL-042 enim OBO | am 19% fon, 10 94 00+ am i e ee Color Option y Color Option",VERIFIED_FROM_CATALOGUE
XG-EL-040,Electronics,,"Mechanical Flip Clock, Retro Design Auto Desktop, Battery Powered Internal Gear Operated Vintage for Bedroom, Living Room, Night",,,"Black;Dark Blue;Grey",,31,XG-EL-040,middle-right,"SE : 4 & i \ XG-EL-037 XG-EL-038 _— ce, a) oo sccoaythe e y eee Color Option y Color Option XG-EL-039 XG-EL-040 eco ece 7 Color Option Color Option di XG-EL-041 XG-EL-042 enim OBO | am 19% fon, 10 94 00+ am i e ee Color Option y Color Option",VERIFIED_FROM_CATALOGUE
XG-EL-041,Electronics,,,,,"White;Grey",,31,XG-EL-041,bottom-left,"SE : 4 & i \ XG-EL-037 XG-EL-038 _— ce, a) oo sccoaythe e y eee Color Option y Color Option XG-EL-039 XG-EL-040 eco ece 7 Color Option Color Option di XG-EL-041 XG-EL-042 enim OBO | am 19% fon, 10 94 00+ am i e ee Color Option y Color Option",VERIFIED_FROM_CATALOGUE
XG-EL-042,Electronics,,,,,"Black;Gray;Blue",,31,XG-EL-042,bottom-right,"SE : 4 & i \ XG-EL-037 XG-EL-038 _— ce, a) oo sccoaythe e y eee Color Option y Color Option XG-EL-039 XG-EL-040 eco ece 7 Color Option Color Option di XG-EL-041 XG-EL-042 enim OBO | am 19% fon, 10 94 00+ am i e ee Color Option y Color Option",VERIFIED_FROM_CATALOGUE
XG-EL-043,Electronics,,,Mobile stand PVC,,Black,,32,XG-EL-043,bottom-left,\MUDHRA’ ELECTRONICS XG-EL-043 XG-EL-044 Color Option Color Option,VERIFIED_FROM_CATALOGUE
XG-EL-044,Electronics,,,Mobile stand PVC,,Black,,32,XG-EL-044,bottom-right,\MUDHRA’ ELECTRONICS XG-EL-043 XG-EL-044 Color Option Color Option,VERIFIED_FROM_CATALOGUE
XG-GS-037,Gift Sets,2 in 1 Gift Set,Dairy 200 pages + Metal Pen,,200 pages,,,56,XG-GS-037,middle-right,"XG - GS- 034 XG - GS- 035 Zinicinset aintoit set etal Pen Metal Pen e ee { @ ee Color Option tt Color Option XG - GS- 036 XG-GS-037 Metal Pen Metal Pen @ ee eee y Color Option Color Option _ XG - GS- 038 XG - GS- 039 Din Gift Set 2in Gift set Dairy 200 pages Dairy 200 pages etl Pen Metol pen e e , e ee Color Option _ Color Option",VERIFIED_FROM_CATALOGUE
XG-GS-059,Gift Sets,2 in 1 Gift Set,"Dairy 200 pages,Metal Pen",,200 pages,,,61,XG-GS-059,bottom-right,"55 aint ain set ainroitset Metal Pe etalon eee 4 @ 66 Color Option _ Color Option XG - GS- 056 XG - GS- 057 aintoinset inion set © e ece y Color Option Color Option y XG - GS- 058 XG-GS-059 dintcinset dinvoin set Dairy 200 pages { Dairy 200 pages |  1  e e , e ee Color Option tt Color Option",VERIFIED_FROM_CATALOGUE
XG-GS-061,Gift Sets,2 in 1 Gift Set,"2 in 1 Gift Set,Dairy 200 pages,Metal Pen",,200 pages,,,62,XG-GS-061,top-right,,VERIFIED_FROM_CATALOGUE
XG-GS-062,Gift Sets,2 in 1 Gift Set,"2 in 1 Gift Set,Dairy 200 pages,Metal Pen",,200 pages,,,62,XG-GS-062,middle-left,"V/ _ | XG - GS: 060 XG°GS-061 2in} oi sot =H 2in eit set fi ee ~ An evee, = Color Option A Color Option XG-GS-062 XG - GS: 063 eee eee y Color Option Color Option yr XG - GS- 064 XG-GS-065 e e@ y e@ ee Color Option _-“~ Color Option",VERIFIED_FROM_CATALOGUE
