code,category,source_page,name,description,material,capacity,colors,price_inr,image_path,data_status
XG-EL-001,Electronics,25,,,,,,,,catalogue_ocr
XG-EL-002,Electronics,25,,,,,,,,catalogue_ocr
XG-EL-003,Electronics,25,,,,,,,,catalogue_ocr
XG-EL-004,Electronics,25,,,,,,,,catalogue_ocr
XG-EL-005,Electronics,25,,,,,,,,catalogue_ocr
XG-EL-006,Electronics,25,,,,,,,,catalogue_ocr
XG-EL-007,Electronics,26,,,,,,,,catalogue_ocr
XG-EL-008,Electronics,26,,,,,,,,catalogue_ocr
XG-EL-009,Electronics,26,,,,,,,,catalogue_ocr
XG-EL-010,Electronics,26,,,,,,,,catalogue_ocr
XG-EL-011,Electronics,26,,,,,,,,catalogue_ocr
XG-EL-012,Electronics,26,,,,,,,,catalogue_ocr
XG-EL-013,Electronics,27,,,,,,,,catalogue_ocr
XG-EL-014,Electronics,27,,,,,,,,catalogue_ocr
XG-EL-015,Electronics,27,,,,,,,,catalogue_ocr
XG-EL-016,Electronics,27,,,,,,,,catalogue_ocr
XG-EL-017,Electronics,27,,,,,,,,catalogue_ocr
XG-EL-018,Electronics,27,,,,,,,,catalogue_ocr
XG-EL-019,Electronics,28,,,,,,,,catalogue_ocr
XG-EL-020,Electronics,28,,,,,,,,catalogue_ocr
XG-EL-021,Electronics,28,,,,,,,,catalogue_ocr
XG-EL-022,Electronics,28,,,,,,,,catalogue_ocr
XG-EL-023,Electronics,28,,,,,,,,catalogue_ocr
XG-EL-024,Electronics,28,,,,,,,,catalogue_ocr
XG-EL-025,Electronics,29,,,,,,,,catalogue_ocr
XG-EL-026,Electronics,29,,,,,,,,catalogue_ocr
XG-EL-027,Electronics,29,,,,,,,,catalogue_ocr
XG-EL-028,Electronics,29,,,,,,,,catalogue_ocr
XG-EL-029,Electronics,29,,,,,,,,catalogue_ocr
XG-EL-030,Electronics,29,,,,,,,,catalogue_ocr
XG-EL-031,Electronics,30,,,,,,,,catalogue_ocr
XG-EL-032,Electronics,30,,,,,,,,catalogue_ocr
XG-EL-033,Electronics,30,,,,,,,,catalogue_ocr
XG-EL-034,Electronics,30,,,,,,,,catalogue_ocr
XG-EL-035,Electronics,30,,,,,,,,catalogue_ocr
XG-EL-036,Electronics,30,,,,,,,,catalogue_ocr
XG-EL-037,Electronics,31,,,,,,,,catalogue_ocr
XG-EL-038,Electronics,31,,,,,,,,catalogue_ocr
XG-EL-039,Electronics,31,,,,,,,,catalogue_ocr
XG-EL-040,Electronics,31,,,,,,,,catalogue_ocr
XG-EL-041,Electronics,31,,,,,,,,catalogue_ocr
XG-EL-042,Electronics,31,,,,,,,,catalogue_ocr
XG-EL-043,Electronics,32,,,,,,,,catalogue_ocr
XG-EL-044,Electronics,32,,,,,,,,catalogue_ocr
XG-GS-037,Gift Sets,56,,,,,,,,catalogue_ocr
XG-GS-059,Gift Sets,61,,,,,,,,catalogue_ocr
XG-GS-061,Gift Sets,62,,,,,,,,catalogue_ocr
XG-GS-062,Gift Sets,62,,,,,,,,catalogue_ocr
XG-GS-065,Gift Sets,62,,,,,,,,catalogue_ocr
XG-GS-133,Gift Sets,74,,,,,,,,catalogue_ocr
XG-GS-134,Gift Sets,75,,,,,,,,catalogue_ocr
XG-GS-135,Gift Sets,75,,,,,,,,catalogue_ocr
XG-GS-136,Gift Sets,75,,,,,,,,catalogue_ocr
XG-GS-137,Gift Sets,75,,,,,,,,catalogue_ocr
XG-GS-138,Gift Sets,75,,,,,,,,catalogue_ocr
XG-GS-139,Gift Sets,75,,,,,,,,catalogue_ocr
XG-GS-140,Gift Sets,76,,,,,,,,catalogue_ocr
