code,category,source_page,source_code,name,description,material,capacity,colors,price_inr,image_path,raw_excerpt,data_status
XG-EL-001,Electronics,25,XG-EL-001,,,,,,,,y y  &  i  \  \. — EN XG-EL-001 XG-EL-002 e y eo Color Option y Color Option XG-EL-003 XG-EL-004 Color Option Color Option di XG-EL-005 XG-EL-006 e i g e Color Option y Color Option,needs_review
XG-EL-002,Electronics,25,XG-EL-002,,,,,,,,y y  &  i  \  \. — EN XG-EL-001 XG-EL-002 e y eo Color Option y Color Option XG-EL-003 XG-EL-004 Color Option Color Option di XG-EL-005 XG-EL-006 e i g e Color Option y Color Option,needs_review
XG-EL-003,Electronics,25,XG-EL-003,,,,,,,,y y  &  i  \  \. — EN XG-EL-001 XG-EL-002 e y eo Color Option y Color Option XG-EL-003 XG-EL-004 Color Option Color Option di XG-EL-005 XG-EL-006 e i g e Color Option y Color Option,needs_review
XG-EL-004,Electronics,25,XG-EL-004,,,,,,,,y y  &  i  \  \. — EN XG-EL-001 XG-EL-002 e y eo Color Option y Color Option XG-EL-003 XG-EL-004 Color Option Color Option di XG-EL-005 XG-EL-006 e i g e Color Option y Color Option,needs_review
XG-EL-005,Electronics,25,XG-EL-005,,,,,,,,y y  &  i  \  \. — EN XG-EL-001 XG-EL-002 e y eo Color Option y Color Option XG-EL-003 XG-EL-004 Color Option Color Option di XG-EL-005 XG-EL-006 e i g e Color Option y Color Option,needs_review
XG-EL-006,Electronics,25,XG-EL-006,,,,,,,,y y  &  i  \  \. — EN XG-EL-001 XG-EL-002 e y eo Color Option y Color Option XG-EL-003 XG-EL-004 Color Option Color Option di XG-EL-005 XG-EL-006 e i g e Color Option y Color Option,needs_review
XG-EL-007,Electronics,26,XG-EL-007,,,,,,,,y y  &  |  i XG-EL-007 XG-EL-008 ® / eee Color Option tt Color Option XG-EL-009 XG-EL-010 eo e y Color Option Color Option y XG-EL-O11 XG-EL-012 e e _ Color Option y Color Option,needs_review
XG-EL-008,Electronics,26,XG-EL-008,,,,,,,,y y  &  |  i XG-EL-007 XG-EL-008 ® / eee Color Option tt Color Option XG-EL-009 XG-EL-010 eo e y Color Option Color Option y XG-EL-O11 XG-EL-012 e e _ Color Option y Color Option,needs_review
XG-EL-009,Electronics,26,XG-EL-009,,,,,,,,y y  &  |  i XG-EL-007 XG-EL-008 ® / eee Color Option tt Color Option XG-EL-009 XG-EL-010 eo e y Color Option Color Option y XG-EL-O11 XG-EL-012 e e _ Color Option y Color Option,needs_review
XG-EL-010,Electronics,26,XG-EL-010,,,,,,,,y y  &  |  i XG-EL-007 XG-EL-008 ® / eee Color Option tt Color Option XG-EL-009 XG-EL-010 eo e y Color Option Color Option y XG-EL-O11 XG-EL-012 e e _ Color Option y Color Option,needs_review
XG-EL-012,Electronics,26,XG-EL-012,,,,,,,,y y  &  |  i XG-EL-007 XG-EL-008 ® / eee Color Option tt Color Option XG-EL-009 XG-EL-010 eo e y Color Option Color Option y XG-EL-O11 XG-EL-012 e e _ Color Option y Color Option,needs_review
XG-EL-013,Electronics,27,XG-EL-013,,,,,,,,y y/ & { \ XG-EL-013 7 XG-EL-014 Color Option tt Color Option XG-EL-015 XG-EL-016 Color Option Color Option y XG-EL-017 XG-EL-018 e e Color Option it Color Option,needs_review
XG-EL-014,Electronics,27,XG-EL-014,,,,,,,,y y/ & { \ XG-EL-013 7 XG-EL-014 Color Option tt Color Option XG-EL-015 XG-EL-016 Color Option Color Option y XG-EL-017 XG-EL-018 e e Color Option it Color Option,needs_review
